제목,개봉일,평점,관객수,줄거리
"엘리오","애니메이션미국98분","없음","실관람객 평점
정보확인 내용 열고 닫기
9.5410
72명 참여","없음"
"혹성탈출","액션미국145분","없음","실관람객 평점
정보확인 내용 열고 닫기
7.6110
1,223명 참여","없음"
"범죄도시4","액션대한민국109분","없음","실관람객 평점
정보확인 내용 열고 닫기
7.5110
1,922명 참여","없음"
"쿵푸팬더4","애니메이션미국94분","없음","쿵푸팬더4
영화
Kung Fu Panda 4
2024
문서 저장하기
전체
기본정보
출연/제작진
관람평
무비클립
포토
리뷰
명대사
시리즈
보러가기
추천영화
다음
동영상 바로재생
우리 쿵푸팬더는요...
동영상 바로재생
덤벼! 아니 덤비지마.. 영상
동영상 바로재생
끝이 없는 팬더의 Next Steps
동영상 바로재생
도파민 STOP! 포 선생의 명상 강의
동영상 바로재생
용의 전사 내꼬 영상
동영상 바로재생
잭형, 베이비 원 모어 타임 MV
동영상 바로재생
잭 블랙이 말아주는 쿵푸팬더 요약zip
동영상 바로재생
'빌런 vs 팬더 '최고'들의 대결!' 영상
동영상 바로재생
인간팬더 잭 블랙 컴백
동영상 바로재생
'레전드 팬더 두둥 등장' 영상
동영상 바로재생
듄듄한 팬더 컴백 예고편
동영상 바로재생
1차 예고편
다음
개요
애니메이션미국94분
개봉
2024.04.10.
평점
7.04
관객수
177만명
오랜만이지! 드림웍스 레전드 시리즈 마침내 컴백! 마침내 내면의 평화… 냉면의 평화…가 찾아왔다고 믿는 용의 전사 ‘포’ 이젠 평화의 계곡의 영적 지도자가 되고, 자신을 ... 더보기
보러가기
좋아요
2,647
정보오류 수정요청
네이버 영화
정보확인 내용 열고 닫기

다른 사이트 더보기
감독/출연
더보기
마이크 미첼
감독
스테파니 스티네
감독
잭 블랙
포 목소리 역
아콰피나
젠 목소리 역
비올라 데이비스
카멜레온 목소리 역
더스틴 호프만
시푸 목소리 역
제임스 홍
핑 목소리 역
브라이언 크랜스톤
리 목소리 역
엄상현
포 목소리 역
김나율
젠 목소리 역
다음
관람평
더보기
실관람객 평점
정보확인 내용 열고 닫기
7.0410
518명 참여
남자
6.88
여자
7.25
점수별 비율
정보확인 내용 열고 닫기
9-10
20%
7-8
36%
5-6
35%
3-4
7%
1-2
2%
별점(10점 만점 중)
5
노잼 포를 오랜만에 봐서 좋긴한데 5인방은 나오지도 않고 빌런은 센척하더니만 순식간에 증발됨 돈벌려고 4 억지로 만든 것 같음
작성자
실관람객cotn****
공감542
별점(10점 만점 중)
5
큰거 한방 나오려나 기를 잔뜩 모으다가 뀐 피식방구.
작성자
실관람객5228****
공감246
별점(10점 만점 중)
6
이전 캐릭터들에 비해 여우캐릭터 디자인이 한참 부족한 느낌이에요.
작성자
실관람객deep****
공감224
별점(10점 만점 중)
6
무난하게 재밌음그렇지만 무난함, 꼭 봐야될 정도는 아닌..
작성자
실관람객hlee****
공감220
별점(10점 만점 중)
6
훔...쿵푸팬더는 꼭 챙겨봤는데.. 이번엔 처음으로 잠이 왔어요ㅜㅜ
작성자
실관람객red6****
공감221
별점(10점 만점 중)
10
몇년째 나와도 재밌다.
작성자
실관람객ye4u****
공감303
별점(10점 만점 중)
7
4편의 악당은 전작들의 악당에 비하면 임팩트는 너무 없어요 아무래도 포가 이미 쿵푸 정점을 찍다보니 포보다는 신캐 활약 비중이 많아보이더라고요
작성자
실관람객geen****
공감179
별점(10점 만점 중)
6
이제는 여기까지만하자
작성자
실관람객jym3****
공감166
별점(10점 만점 중)
10
판다야 너가 귀여운거 다해
작성자
실관람객m180****
공감142
다음
관련 영화 추천
더보기
캐리비안의 해적: 죽은 자는 말이 없다
쥬만지: 넥스트 레벨
고스트버스터즈
러브 앤 몬스터스
아이 엠 넘버 포
마법사의 제자
잃어버린 세계를 찾아서 2 : 신비의 섬
나쁜 녀석들 : 포에버
쿵푸 팬더 2
스타트렉 비욘드
다음
문서 저장하기
나무위키namu.wiki›쿵푸팬더_4
쿵푸팬더 4 - 나무위키
드림웍스 애니메이션 쿵푸팬더 시리즈의 4번째 장편영화. 1차 예고편에 나온 노래는 화이트 스트라입스의 노래인 Seven Nation Army를 중국풍으로 리믹스한 것으로 보인다.
장르
애니메이션, 액션, 코미디, 버디물
제작
레베카 헌틀리
감독
마이크 미첼, 스테파니 스타인
제작사
드림웍스 애니메이션
개요
개봉 전 정보
포스터
예고편
시놉시스
등장인물
줄거리
오마주
카멜레온(쿵푸팬더 시리즈)
쿵푸팬더 시리즈의 등장인물이자 4편의 메인 빌런 종은 베일드카멜레온. 이름은 이전에 나왔던 빌런들과는 달리, 종족 이름 그대로 그냥 카멜레온이다.과거 마스터를 꿈꿨으나, 미천한 신분과 작은 덩치 때문에 어떤 도장도 그녀를 받아주는 곳이 없었다고 한다. 결국 타락한 카멜레온은 대신 변신술이라는 마법을 배워 강력한 힘을 손에 얻었고, 코모도왕도마뱀...
관련문서 더보기
문서 저장하기
위키백과 한국어ko.wikipedia.org›쿵푸팬더_4
쿵푸팬더 4 - 위키백과 한국어
《 쿵푸팬더 4 》( 영어: Kung Fu Panda 4 )는 2024년 개봉한 미국의 무술 코미디 애니메이션 영화이다. 《쿵푸 팬더》 시리즈의 네 번째 작품이다. 성우진 잭 블랙 - 포 역 (엄상현) 제임스 홍 - 핑 역 (기영도) 더스틴 호프먼 - 시푸 역 (김기현) 아콰피나 - 젠 역 (김나율) 무적의 5인방 안젤리나 졸리 - 타이그리스 역 (이주은) 몽키 크레인 바이스 세스 로건 - 맨티스 역 (방성준) 이언 맥셰인 - 타이렁 역 (안장혁) 센 카이 비올라 데이비스/케빈 마이클 리처드슨/아콰피나/이언 맥셰인 - 카멜레온 역 (성선녀) 브라이언 크랜스턴 -...
감독
마이크 미첼 스테퍼니 마 스타인
언어
영어
제작
레베카 헌틀리
개봉일
2024년 3월 7일 (중국) 2024년 3월 8일 (미국) 2024년 3월 28일 (영국) 2024년 4월 10일 (대한민국)
성우진
마케팅
각주
외부 링크
인플루언서
서비스 홈 바로가기
케이
2024.04.20.
쿵푸팬더4 정보 관람평 줄거리 애니메이션 영화 추천
오늘은 4월 10일 극장을 통해서 개봉한 드림웍스의 애니메이션 영화 <쿵푸팬더4>에 대한 이야기를 해보려고 합니다. 2008년에 나온 1편을 시작으로 3편까지 연달아 흥행에 성공하며 드림웍스의 자존심이라고 불려온 <쿵푸팬더> 시리즈. 무려 8년 만에 새로운 이야기로 돌아온 만큼 기존 팬들의 기대감도 상당했는데요. 지난작들보다...
14
청우
2024.06.10.
쿵푸팬더4 성공 후속작 5편 제작 결정될까
쿵푸팬더4 감독 마이크 미첼, 스테파니 스티네 출연 잭 블랙, 아콰피나, 비올라 데이비스, 더스틴 호프만, 제임스 홍, 브라이언 크랜스톤 개봉 2024.04.10. 국내 2024년 4월 10일 개봉한 애니메이션 영화 추천 쿵푸팬더4 극장 개봉 후 충분한 수익을 올리면서 다시 5편 제작에 대한 여러 루머가 온라인을 통해 급속히 번지고 있다. 그러나...
5
나임상
2024.04.21.
쿵푸팬더 4 올해 개봉 애니 영화 최단 백만 달성
드림웍스 신작 애니메이션 영화 <쿵푸팬더 4>(2024)가 국내 개봉 11일 만인 어제(20일) 국내 박스오피스 누적 관객 100만명 돌파에 성공했습니다. 전작에 이어 8년 만에 다시 돌아온 <쿵푸팬더 4>는 모든 쿵푸 마스터들의 능력을 복제하는 빌런 카멜레온(※비올라 데이비스)과 맞서 싸우는 포(※잭 블랙)와 젠(※아콰피나)에 관한...
20
인플루언서
더보기
문서 저장하기
넷플릭스www.netflix.com›title
쿵푸팬더 4 | 넷플릭스
2024.10.07. 용의 전사로 멋지게 활약했던 포. 이제 슬슬 자리를 물려줄 때가 왔다. 변신술의 귀재라는 새로운 악당을 물리칠 수 있다면, 그가 바로 포의 후계자가 될 것이다. 예고편과 다른 영상을 감상해 보세요.
감독
마이크 미첼, 스테파니 스타인
출연진
잭 블랙, 아콰피나, 더스틴 호프먼, 바이올라 데이비스, 브라이언 크랜스턴, 제임스 홍, 이언 맥셰인, 키 호이 콴, 로니 쳉, 로리 탄 친
쿵푸팬더: 용의 기사 | 넷플릭스 공식 사이트
엘리트 영국 기사와 파트너가 된 전설의 전사 포. 마법의 무기를 찾고 명예를 회복하기 위해 모험을 시작한다. 악당으로부터 세계를 구하라! 예고편과 다른 영상을 감상해 보세요.
관련문서 더보기
문서 저장하기
Rotten Tomatoeswww.rottentomatoes.com›kung_fu_panda_4
Kung Fu Panda 4
2023.12.13. Kung Fu Panda 4: Trailer 1 · 2:26 ; Movieclips: Kung Fu Panda - Best Scenes · 38:05 ; Kung Fu Panda 4: Exclusive Featurette - Po is Jack · 1:14
문서 저장하기
위키피디아 영어en.wikipedia.org›Kung_Fu_Panda_4
Kung Fu Panda 4
Kung Fu Panda 4 is a 2024 American animated martial arts comedy film produced by DreamWorks Animation and distributed by Universal Pictures. It is the fourth... Kung Fu Panda 4 premiered at the AMC 14 Theater at The Grove in Los Angeles on March 3, 2024, and was theatrically released in the United States on March 8. The film...
Country
United States
Language
English
Running time
93 minutes
Starring
Jack Black
Plot
Voice cast
Production
Marketing
Release
Reception
Future
Notes
Kung Fu Panda
Panda 4 (2024), as well as three television series: Kung Fu Panda: Legends of Awesomeness (2011–2016)... Kung Fu Panda (2024) Shifu tasks Po to retire as the Dragon Warrior and find a successor as he must advance... Possible fifth film In May 2024, following the critical and commercial success of Kung Fu Panda , Mitchell...
관련문서 더보기
검색결과
더보기
이미지
이미지 신고하기
카멜레온
젠
정보
등장인물
토끼
여우
더보기
이미지
더보기
뉴스
관련도순
최신순
모바일 메인 언론사
한국강사신문
2024.10.13.
영화 '쿵푸팬더4' "잭 블랙, 아콰피나, 비올라 데이비스, 더스틴 호프만...
영화 '쿵푸팬더4'는 2024년 4월 10일 개봉된 마이크 미첼, 스테파니 스티네 감독의 작품이다. 출연진으로 잭 블랙, 아콰피나, 비올라 데이비스, 더스틴 호프만, 제임스 홍, 브라이언 크랜스톤 목소리 주연, 성우로는 엄상현, 김나율, 성선녀, 김기현, 임채헌, 기영도, 안장혁 더빙, 관람평 정보로 실관람객 평점 7.07...
이코노미조선
2024.09.09.
[영화 속 건축 세계 <8> 쿵푸팬더4] 호수를 가로지르는 고수의 비기, 자...
이전의 완결적인 서사와는 달리, '쿵푸팬더4'는 '변화'를 주제로 삼으며 과도기적인 성격을 띠고 있다. 영화에서 포의 사부인 마스터 시푸는 그에게 후계자를 지명하여 '용의 전사' 타이틀을 전수하고, 나아가 '평화의 계곡' 마을의 영적 지도자가 되라고 권유한다. 하지만 마을을 수호하는 쿵푸 영웅으로 남고...
게임포커스
2024.05.08.
홈초이스, 금주의 신작 '쿵푸팬더4' VOD 론칭 프로모션 진행
홈초이스가 영화 ‘쿵푸팬더4’를 오늘(5월 8일)부터 전국 케이블TV에서 VOD 서비스를 시작함과 동시에 론칭 기념 프로모션을 진행한다고 밝혔다. 영화 ‘쿵푸팬더4’는 모든 쿵푸 마스터들의 능력을 그대로 복제하는 가장 강력한 빌런 ‘카멜레온’에 맞서기 위해 용의 전사인 자신마저 뛰어넘어야 하는...
'쿵푸팬더4' 보고 푸바오 만나자…홈초이스, VOD 런칭 프로모션
싱글리스트
2024.05.08.
뉴스펭귄
2024.05.07.
'쿵푸팬더4' 에 등장하는 멸종위기 동물 5종
애니메이션 '쿵푸팬더4' 속 캐릭터의 실제 모델이어서다. 쿵푸팬더는 2008년 개봉한 첫 영화를 시작으로 4번째 시리즈가 이어진 극장판 애니메이션이다. 가족과 함께 국수가게에서 일 하던 판다 '포'가 쿵푸 고수로 성장하는 과정을 다룬다. 한국에서만 4편 도합 1500만 관객을 달성할 정도로 큰 관심을...
뉴스
더보기
동영상
이 정보가 표시된 이유
동영상
46:35
문서 저장하기
≪쿵푸팬더4≫ 보기 전, ≪쿵푸팬더 ≫🔥1~3부🔥한 방에 몰아보기..!
지무비 : G Movie
공식
Youtube
2024.04.03.
조회수 316만
동영상
00:30
문서 저장하기
'쿵푸팬더4' '레전드 팬더 두둥 등장' 영상
네이버 영화 예고편 저장소
공식
네이버TV
2024.03.12.
조회수 19만
동영상
02:31
문서 저장하기
[쿵푸팬더 4] 1차 예고편 (HD)
유니버설 픽쳐스
공식
Youtube
2023.12.14.
조회수 166만
동영상
01:26
문서 저장하기
쿵푸팬더4 병맛 요약
상상 커머스
공식
Youtube
2024.04.27.
조회수 32만
동영상
더보기
파워링크
‘ 쿵푸팬더4 ’관련 광고입니다.
이 광고가 표시된 이유
등록 안내
광고
쿠팡
coupang.com
쿠팡 와우회원 한정 할인
29,900원
36,000원
24,000원
4,300원
5,900원
43,700원
다음으로 이동
쿠팡, 와우회원은 로켓배송 전 상품 무료배송 오늘주문 내일도착! 꼭 필요한 제품은 로켓배송으로 빠르게, 정기배송으로 더 저렴하게
이전
1 2 3 4 5 6 7 8 9 10
다음","없음"
"가필드 더 무비","애니메이션영국, 미국100분","없음","가필드 더 무비
영화
The Garfield Movie
2024
문서 저장하기
전체
기본정보
출연/제작진
관람평
무비클립
포토
리뷰
명대사
보러가기
추천영화
다음
동영상 바로재생
이장우 X 크리스 프랫 랜선 인터뷰 영상
동영상 바로재생
메인 예고편
동영상 바로재생
티저 예고편
동영상 바로재생
런칭 예고편
다음
개요
애니메이션영국, 미국100분
개봉
2024.05.15.
평점
7.63
관객수
36만명
세상귀찮 집냥이, 바쁘고 험난한 세상에 던져졌다! 집사 ‘존’과 반려견 ‘오디’를 기르며 평화로운 나날을 보내던 집냥이 ‘가필드’. 어느 날, 험악한 길냥이 무리에게 납치당해 ... 더보기
보러가기
좋아요
824
정보오류 수정요청
네이버 영화
정보확인 내용 열고 닫기

다른 사이트 더보기
감독/출연
더보기
마크 딘달
감독
크리스 프랫
주연
사무엘 L. 잭슨
주연
니콜라스 홀트
주연
관람평
더보기
실관람객 평점
정보확인 내용 열고 닫기
7.6310
450명 참여
남자
7.45
여자
7.82
점수별 비율
정보확인 내용 열고 닫기
9-10
22%
7-8
52%
5-6
24%
3-4
1%
1-2
0%
별점(10점 만점 중)
8
다 큰 사람이 봐도 지루하진 않았음 근데 가필드 주인 카드 값이 너무 신경쓰였다
작성자
실관람객cksg****
공감77
별점(10점 만점 중)
8
어른이 봐도 생각보다 괜찮음
작성자
실관람객wkdw****
공감54
별점(10점 만점 중)
10
사랑스러울 수 밖에 없는 요 치즈냥이
작성자
실관람객ye4u****
공감32
별점(10점 만점 중)
10
강쥐 오디랑 가필드 케미가 너무 좋음..??성인인데 유치한거 좋아해서 그런지 너무 재밌게봤음. 유머코드가 넘 취향!!!!
작성자
실관람객phw8****
공감28
별점(10점 만점 중)
8
가필드 맥도날드 콜라보도 괜찮을듯
작성자
실관람객airp****
공감22
별점(10점 만점 중)
6
기대를 너무 했나 재밌긴 한데 먼가 몰입이 안된다
작성자
실관람객cyh8****
공감16
별점(10점 만점 중)
8
팝콘무비로 볼만함. 아기 가필드가 매우 귀여움
작성자
실관람객yuki****
공감14
별점(10점 만점 중)
5
무난한 어린이영화. 오디 보면서 그로밋 생각났음
작성자
실관람객jeon****
공감15
별점(10점 만점 중)
9
어른 아이 모두 좋아할 영화!!
작성자
실관람객smil****
공감15
다음
관련 영화 추천
더보기
장화신은 고양이: 끝내주는 모험
마이펫의 이중생활2
DC 리그 오브 슈퍼-펫
보스 베이비 2
마이펫의 이중생활
퍼피 구조대: 더 마이티 무비
배드 가이즈
숀더쉽 더 무비: 꼬마 외계인 룰라!
가필드 2
가필드
다음
가필드 더 무비 FAQ
이 정보가 표시된 이유
Q
가필드 더 무비에서 황소 이름은 무엇인가요?
접기
네이버 블로그
문서 저장하기
오랜시간이 지나 성장한 가필드는 냉장고를 열어 뭘 먹으려하다가 강아지 오디와 함께 다른 강아지 롤랜드와 놀란에게 납치되면서 아빠 빅과 재회하게되고 황소 오토를 만나게된 후 훈련을 하고 임무를 수행하게되는데....
Ai 스니펫 기술로 생성된 Q&A입니다.
더보기
Q
가필드 더 무비에서 가필드 성우가 누구인가요?
접기
Q
가필드 더 무비에서 다루는 교훈은 무엇인가요?
접기
Q
마인크래프트 더 무비는 몇 살이 관람하기에 적합한가요?
접기
Q
가필드는 어디에 있는 신학교에 입학했나요?
접기
가필드 더 무비 FAQ 더보기
문서 저장하기
나무위키namu.wiki›가필드_더_무비
가필드 더 무비 - 나무위키
가필드를 원작으로 한 가필드 극장판 애니메이션. 실사화 이후 18년 만에 제작되는 극장용 작품이기도 하다.
장르
애니메이션, 코미디
제작
존 코헨, 브로데릭 존슨, 앤드류 코소브 스티븐 P. 웨그너, 크레이그 소스트, 나밋 말호트라
감독
마크 딘달
원작
짐 데이비스 - 만화 《 가필드 》
개요
포스터
예고편
시놉시스
등장인물
줄거리
사운드트랙
평가
가필드 - 나무위키
톰과 제리의 토머스 캣, 펠릭스 더 캣, 헬로키티 등과 함께 세계에서 제일 유명한 고양이 중 하나로 한국에는 심술 고양이 라는 이름으로 알려져 있다. 종은 엑조틱 숏헤어(exotic shorthair). 이탈리아 레스토랑의 주방에서 태어났다. 오렌지색에 검은 줄무늬의 뚱뚱한 고양이로 머리가 상당히 영악하고 잔꾀가 많으며 자기가 손해볼 일은 잘 하려고 하지 않는다....
관련문서 더보기
영화 인기글
문서 저장하기
김덮밥
2024.05.14.
영화 가필드 더 무비 후기 쿠키 영상 특전 인형 굿즈 콤보 더빙 평점
영화 가필드 더 무비 후기 쿠키 영상 특전 인형 굿즈 콤보 더빙 평점 5월 15일 수요일. 극장 대개봉을 하는 작품이 있어 소개해본다. 너무나도 귀여운 작품이 아닐 수 없는데 동명의 원작 만화를 오리지널로 하는 일종의 극장판 애니메이션 무비라고 보면 된다. 실사화 했던 이후로 약 18년만에 제작되는 극장용 시리즈이기도 함. 그러면 영화 가필드 관련 미리 시사회...
동영상
20
문서 저장하기
영소남
2024.05.12.
13
영화 <가필드 더 무비> 정보 출연진 - 눈을 뗄 수 없이 귀여운 가필드의 이야기
저 역시 일상 속에서 전달되는 코믹함과, 강한 매력을 가진 캐릭터들로 즐겁게 봤던 기억이 있는데, 그런 만화가 이토록 오랜만에 극장 무비로 컴백한다니. 매우 반가우면서도 기쁜... 프랜차이즈가 더 이어졌으면 좋겠습니다. 이처럼 바깥세상으로 단 한 번도 나간 적이 없던 집냥이 ‘가필드’가 거리에 처음으로 던져지면서 시작되는 모험을 그린 영화 <>는...
문서 저장하기
무비럽웅
2024.05.17.
11
영화 <가필드 더 무비> 리뷰 * 귀여운 매력의 가필드, 어드벤처 모험의 재미까지
필자는 자막판으로 관람을 했는데 더빙판으로도 개봉한 만큼 연령층이 낮은 어린 아이들에게는 더빙으로 즐기셔도 좋을것 같다. *이미지, 동영상 출처 : 소니픽쳐스코리아 가필드 더 무비 감독 마크 딘달 출연 크리스 프랫, 사무엘 L. 잭슨, 니콜라스 홀트 개봉 2024.05.15. #영화 #영화리뷰 #최신영화리뷰 #애니메이션 #가필드 # #크리스프랫 #사무엘L잭슨
영화 <가필드 더 무비> 전 세계가 사랑한 고양이 가필드, 극장판 애니메이션으로...
무비럽웅의 #개봉영화
콘텐츠 더보기
문서 저장하기
가려진 시간
2024.05.02.
12
영화 가필드 더 무비 정보 개봉일 출연진 성우 줄거리 애니메이션 오디 빅
<가필드 더 무비>는 가필드의 어린 시절부터 시작할 예정입니다. 길냥이였던 가필드는 귀여운 외모로 집사 존을 간택합니다. 보시면 아시겠지만 어린 시절 가필드의 미모가 어마무시 합니다. 엑조틱 숏헤어 고양이를 검색해 보면 어린 시절 외모가 상당한 것을 확인할 수 있습니다. 이 존이 꽤나 유능한 집사인 것으로 보이는 것이 이후 가필드는 여느 집냥이들처럼 확대를...
가려진 시간의 #애니메이션영화
콘텐츠 더보기
문서 저장하기
시네마 오마카세
2024.07.16.
8
[영화 리뷰] 가필드 더 무비 (줄거리 및 결말)
2004년, 2006년에 각각 실사화 가필드 영화 두편이 개봉했는데, 실사화 이후 18년 만에 제작되는 극장용 애니메이션입니다. 최근 극장 상영을 마무리하고 VOD로 풀리게 되었습니다. 가필드 더 무비 (The Garfield Movie, 2024) 장르 : 애니메이션, 코미디 러닝타임 : 101분 감독 : 마크 딘달 주연 : 크리스 프랫, 사무엘 L. 잭슨, 한나 와딩엄, 빙 레임스 이 <가필드> 애니메이션에...
문서 저장하기
君たちがいて僕がいた
2024.05.22.
동영상
10
<가필드 더 무비> 한국 ‘가필드’ 팜유냥 이장우의 냥문냥답 공개! 이장우 "아빠에게 꼭 전화해야겠다는 생각 들었다"
관객 공감 200%, ‘가필드’와 ‘빅’의 부성애 나무 장면 최애 장면으로 PICK 5월 극장가 단 하나의 패밀리 무비로 단단히 자리를 잡고 있는 <가필드 더 무비>가 ‘한국 ‘가필드’... 여기에, 미국 ‘가필드’ 크리스 프랫과 랜선 인터뷰로 만난 소감을 밝혔다. 이장우는 “질문도 하고 리액션도 해야 하는데 인터뷰 동안 숨이 잘 안 쉬어졌던 것 같다. 한번 더 기회가...
<가필드 더 무비> 귀여움 폭발! 소장욕구 200% 극장 4사 스페셜 굿즈 득템의 기회!
<가필드 더 무비> 티저 예고편 전격 공개! 베이비 가필드의 폭풍 성장부터, 험난한 세상 속 냥고생까지!
문서 저장하기
헤레나
2024.05.19.
14
아이랑 영화 가필드 더 무비 5세 8세 가족영화추천
가족영화추천 가필드 더 무비 사진출처 네이버 영화를 예매하기 전에 관람평을 살펴보았는데 좋은 리뷰가 많아 기대하며 예매했어요. 초등학생 첫째 친구들 중에서 이 영화를 본 아이들이 꽤 많은 것 같아 첫째는 이미 이 고양이를 알고 있더라고요. 영화관 주변에 포토존이 많아 더 재미있어하기도 했고요. 가필드 캐릭터는 알고 있었는데 영화를 본 건 처음이라 어떤...
영화 인기글
더보기
문서 저장하기
넷플릭스www.netflix.com›title
가필드 더 무비 | 넷플릭스
2024.09.14. 오디랑 야식을 털어먹으려다가 웬 고양이에게 봉변을 당하는 가필드. 저 성난 고양이와 담판을 지으려면, 코빼기도 안 보였던 아빠와 손잡고 우유 목장을 털어야 한다! 예고편과 다른 영상을 감상해 보세요.
감독
마크 딘달
출연진
크리스 프랫, 새뮤얼 L. 잭슨, 해나 워딩엄, 빙 라메스, 니콜라스 홀트, 세실리 스트롱, 하비 기옌, 브렛 골드스타인, 보웬 양, 스눕 독
문서 저장하기
위키백과 한국어ko.wikipedia.org›가필드_더_무비
가필드 더 무비 - 위키백과 한국어
" 가필드 더 무비 "( 영어: The Garfield Movie )는 2024년 개봉한 미국의 코미디 애니메이션 영화이다. 마크 딘달이 감독을 맡았으며, 짐 데이비스의 캐릭터 가필드를 주인공으로 한 작품이다. 배우 크리스 프랫이 가필드의 목소리를 맡았다. 출연 주연 크리스 프랫 / 이장우 : 역 (목소리) 사무엘 L. 잭슨 / 이장원 : 빅 역 (목소리) 니콜라스 홀트 / 김혜성 : 존 아버클 역 (목소리) 조연 해나 워딩엄 : 징크스 역 (목소리) 빙 레임스 : 오토 역 (목소리) 세실리 스트롱 : 마지 역 (목소리) 하비 길렌 : 오디 역 (목소리) 브렛 ...
감독
마크 딘달
언어
영어
제작
존 코헨 브로데릭 존슨 앤드류 코소브 스티븐 P. 웨그너 크레이그 소스트 나밋 말호트라
개봉일
2024년 5월 15일 (대한민국) 2024년 5월 24일 (미국)
출연
각주
외부 링크
문서 저장하기
맥스무비www.maxmovie.com›movie
맥스무비-가필드 더 무비
집사 ‘존’과 반려견 ‘오디’를 기르며 평화로운 나날을 보내던 집냥이 ‘가필드’. 어느 날, 험악한 길냥이 무리에게 납치당해 냉혹한 거리로 던져진다. 돌봐주는 집사가 없는 집 밖 세상은 너무나도 정신없게 돌아가고 길에서 우연히 다시 만난 아빠 길냥이 ‘빅’은 오히려 ‘’를 위기에 빠지게 하는데…
맥스무비-가필드
푹신 푹신한 소파, 인정 많은 주인 존(브레킨 마이어 분) 덕에 TV 리모콘을 점령하고 맘껏 게으름을 피우면서 배부르게 라자니아를 먹고 낮잠을 청하는 것이 전부인 오렌지색 고양이 ‘’.
관련문서 더보기
검색결과
더보기
뉴스
관련도순
최신순
모바일 메인 언론사
뉴스1
2일 전
네이버뉴스
부평구 '굴포愛달밤 야외극장' 개최…400여명 다녀가
구는 엘리베이터 타워를 스크린으로 활용해 가족 단위 방문객을 위한 '가필드 더 무비'를 상영했다. 구는 지역 상인들과 협력한 먹거리 부스와 구 문화재단과 연계해 사전공연도 마련했다고 전했다. 구 관계자는 "앞으로도 주민과 상인이 함께할 수 있는 다양한 프로그램을 추진하겠다"고 말했다.
인천 부평구, ‘400여 명이 참여’ 야외 영화 상영회…가족 관람객 큰 호...
스포츠동아
2일 전
네이버뉴스
부평구, 굴포애(愛)달밤 야외극장 종료
경인매일
2일 전
디지털투데이
2024.06.03.
美 박스오피스 1위 '가필드 더 무비'…'퓨리오사' 3위 그쳐
미국 영화 박스오피스에서 '가필드 더 무비'가 '퓨리오사: 매드맥스 사가'를 앞지르며 1위를 차지했다고 1일(현지시간) 연애매체 버라이어티가 전했다. 전반적으로 어려운 영화 시장 속에서 소니가 나름대로 선전하는 모습이다. '가필드 더 무비'는 개봉 2주 만에 4108개의 극장에서 1400만달러(약...
JTBC
2024.05.22.
네이버뉴스
'가필드 더 무비' 이장우 "크리스 프랫과 랜선 만남, 숨 안 쉬어져"
영화 '가필드 더 무비(마크 딘달 감독)'는 22일 이장우의 인터뷰 영상을 공개했다. 이날 이장우는 '가필드 더 무비'에서 가필드 만큼 존재감이 돋보인 캐릭터들을 보면서 떠올랐던 주변 인물로 MBC '나 혼자 산다'의 샤이니 키, 전현무, 기안84를 언급했다. 그는 "존은 키가 되게 잘 어울린다. 실제로 되게 순수하고...
이장우 “크리스 프랫에게 소고기뭇국·부대찌개 끓여주고 싶다”(가필...
뉴스엔
2024.05.22.
네이버뉴스
'가필드' 이장우 "크리스 프랫과 랜선 인터뷰, 숨이 잘 안쉬어졌다"
이데일리
2024.05.22.
네이버뉴스
국제뉴스
2024.05.18.
영화 '가필드 더 무비' 쿠키영상·평점·출연진 알아보기
영화 '가필드 더 무비' 포스터 (사진=소니 픽쳐스) 영화 '가필드 더 무비'가 지난 15일 전국 극장에서 개봉한 가운데 출연진, 쿠키영상 등에 대한 관심이 이어지고 있다. '가필드 더 무비'는 바깥세상으로 단 한 번도 나간 적 없던 집냥이 가필드가 바깥 세상에 처음으로 던져지면서 시작되는 험난한 어드벤처다....
뉴스
더보기
동영상
이 정보가 표시된 이유
동영상
예고편
02:00
문서 저장하기
'가필드 더 무비' 메인 예고편
네이버 영화 예고편 저장소
공식
네이버TV
2024.04.25.
조회수 33만
동영상
예고편
02:01
문서 저장하기
[가필드 더 무비] 메인 예고편
소니픽쳐스코리아
공식
Youtube
2024.04.25.
조회수 39만
동영상
예고편
01:01
문서 저장하기
[가필드 더 무비] 티저 예고편
소니픽쳐스코리아
공식
Youtube
2024.04.10.
조회수 49만
동영상
예고편
01:00
문서 저장하기
'가필드 더 무비' 티저 예고편
네이버 영화 예고편 저장소
공식
네이버TV
2024.04.11.
조회수 2만
동영상
더보기
이전
1 2 3 4 5 6 7 8 9 10
다음","없음"
